Course Code,INSTITUTION and COURSE,EOS,Mid,2019 Interview,2019 R1 Random
AL801,Software Design with Virtual Reality and Gaming,304,328,0,0
AL802,Software Design with Cloud Computing,301,306,0,0
AL803,Software Design with Mobile Apps and Connected Devices,309,337,0,0
AL805,Network Management and Cloud Infrastructure,329,442,0,0
AL810,Quantity Surveying,307,349,0,0
AL820,Mechanical and Polymer Engineering,300,358,0,0
AL830,General Nursing,410,429,0,0
AL832,Psychiatric Nursing,387,403,0,0
AL836,Nutrition and Health Science,352,383,0,0
AL837,Sports Science with Exercise Physiology,351,392,0,0
AL838,Biotechnology,302,372,0,0
AL839,Microbiology,322,371,0,0
AL840,Pharmaceutical Sciences,328,411,0,0
AL841,Athletic and Rehabilitation Therapy,423,430,0,0
AL842,Bioveterinary Science,310,366,0,0
AL843,Physical Activity and Health Science,310,330,0,0
AL850,Business,307,356,0,0
AL851,Business and Law,301,341,0,0
AL852,Accounting (with optional placement),290,346,0,0
AL853,Accounting and Law,305,320,0,0
AL855,Hospitality Management (with International placement),312,357,0,0
AL857,Digital Marketing,300,360,0,0
AL860,Social Care Practice,309,338,0,0
AL861,Animation and Illustration (portfolio),615,899,1,0
AL863,Graphic and Digital Design (portfolio),703,898,1,0
AL864,Early Years Care and Education,307,348,0,0
AL870,Applied Psychology,409,445,0,0
CW018,"Business (options, Wexford)",327,349,0,0
CW028,Early Childhood Education and Care (Wexford),252,308,0,0
CW038,"Art (portfolio, Wexford)",700,700,1,0
CW058,Tourism and Event Management (Wexford),252,262,0,0
CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,0,0
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,0,0
CW088,Visual Communications and Design (Wexford),309,345,0,0
CW108,Science (options),261,326,0,0
CW128,Brewing and Distilling,271,298,0,0
CW178,Sport Science (options),399,424,0,0
CW188,Sport Rehabilitation and Athletic Therapy,454,473,0,0
CW208,Computer Games Development,281,338,0,0
CW238,Software Development,300,343,0,0
CW248,Information Technology Management,307,357,0,0
CW258,Cybercrime and IT Security,300,328,0,0
CW268,Computing in Interactive Digital Art and Design,274,321,0,0
CW438,Construction (options),271,308,0,0
CW468,Architectural Technology,252,290,0,0
CW478,Civil Engineering,348,383,0,0
CW548,Mechanical Engineering,310,351,0,0
CW558,Electronic Systems,279,338,0,0
CW568,Aerospace Engineering,366,422,0,0
CW578,TV and Media Production,327,361,0,0
CW708,Law - LLB,298,328,0,0
CW728,Product Design Innovation,286,355,0,0
CW748,Early Childhood Education and Care,265,338,0,0
CW758,Applied Social Studies - Professional Social Care,290,319,0,0
CW808,Media and Public Relations,248,307,0,0
CW848,Digital Marketing with Analytics,279,307,0,0
CW858,"Sports Management and Coaching (options, portfolio)",700,700,1,0
CW908,Business (options),260,307,0,0
CW938,Business with Law,270,288,0,0
CW948,Accounting,301,408,0,0
PC405,"Social, Political and Community Studies",251,296,0,0
PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289,0,0
PC411,English and History (fulfils Teaching Council requirements),168,289,0,0
CR105,Chemical and Biopharmaceutical Engineering,432,498,0,0
CR106,Software Development,351,393,0,0
CR108,Mechanical Engineering,425,487,0,0
CR109,Structural Engineering,341,467,0,0
CR110,Automotive Business Management and Technology,318,347,0,0
CR112,Creative Digital Media,335,389,0,0
CR116,Computer Systems,318,381,0,0
CR121,Music at CIT Cork School of Music,633,1052,1,0
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,1,0
CR126,Popular Music: Drums at CIT Cork School of Music,878,1043,1,0
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,761,1,0
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,1009,1,0
CR129,Popular Music: Voice at CIT Cork School of Music,857,927,1,0
CR130,Musical Theatre,500,600,1,0
CR150,Business Information Systems,326,371,0,0
