COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
Software Design with Virtual Reality and Gaming,304.0,328.0,8,0,0
Software Design with Cloud Computing,301.0,306.0,8,0,0
Software Design with Mobile Apps and Connected Devices,309.0,337.0,8,0,0
Network Management and Cloud Infrastructure,329.0,442.0,8,0,0
Quantity Surveying,307.0,349.0,8,0,0
Mechanical and Polymer Engineering,300.0,358.0,8,0,0
General Nursing,410.0,429.0,8,0,0
Psychiatric Nursing,387.0,403.0,8,0,0
Nutrition and Health Science,352.0,383.0,8,0,0
Sports Science with Exercise Physiology,351.0,392.0,8,0,0
Biotechnology,302.0,372.0,8,0,0
Microbiology,322.0,371.0,8,0,0
Pharmaceutical Sciences,328.0,411.0,8,0,0
Athletic and Rehabilitation Therapy,423.0,430.0,8,0,0
Bioveterinary Science,310.0,366.0,8,0,0
Physical Activity and Health Science,310.0,330.0,8,0,0
Business,307.0,356.0,8,0,0
Business and Law,301.0,341.0,8,0,0
Accounting (with optional placement),290.0,346.0,8,0,0
Accounting and Law,305.0,320.0,8,0,0
Hospitality Management (with International placement),312.0,357.0,8,0,0
Digital Marketing,300.0,360.0,8,0,0
Social Care Practice,309.0,338.0,8,0,0
Animation and Illustration (portfolio),615.0,899.0,8,1,0
Graphic and Digital Design (portfolio),703.0,898.0,8,1,0
Early Years Care and Education,307.0,348.0,8,0,0
Applied Psychology,409.0,445.0,8,0,0
"Business (options, Wexford)",327.0,349.0,8,0,0
Early Childhood Education and Care (Wexford),252.0,308.0,8,0,0
"Art (portfolio, Wexford)",700.0,700.0,8,1,0
Tourism and Event Management (Wexford),252.0,262.0,8,0,0
Applied Social Studies - Professional Social Care (Wexford),251.0,280.0,8,0,0
Sustainable Farm Management and Agribusiness (Wexford),266.0,320.0,8,0,0
Visual Communications and Design (Wexford),309.0,345.0,8,0,0
Science (options),261.0,326.0,8,0,0
Brewing and Distilling,271.0,298.0,8,0,0
Sport Science (options),399.0,424.0,8,0,0
Sport Rehabilitation and Athletic Therapy,454.0,473.0,8,0,0
Computer Games Development,281.0,338.0,8,0,0
Software Development,300.0,343.0,8,0,0
Information Technology Management,307.0,357.0,8,0,0
Cybercrime and IT Security,300.0,328.0,8,0,0
Computing in Interactive Digital Art and Design,274.0,321.0,8,0,0
Construction (options),271.0,308.0,8,0,0
Architectural Technology,252.0,290.0,8,0,0
Civil Engineering,348.0,383.0,8,0,0
Mechanical Engineering,310.0,351.0,8,0,0
Electronic Systems,279.0,338.0,8,0,0
Aerospace Engineering,366.0,422.0,8,0,0
TV and Media Production,327.0,361.0,8,0,0
Law - LLB,298.0,328.0,8,0,0
Product Design Innovation,286.0,355.0,8,0,0
Early Childhood Education and Care,265.0,338.0,8,0,0
Applied Social Studies - Professional Social Care,290.0,319.0,8,0,0
Media and Public Relations,248.0,307.0,8,0,0
Digital Marketing with Analytics,279.0,307.0,8,0,0
"Sports Management and Coaching (options, portfolio)",700.0,700.0,8,1,0
Business (options),260.0,307.0,8,0,0
Business with Law,270.0,288.0,8,0,0
Accounting,301.0,408.0,8,0,0
"Social, Political and Community Studies",251.0,296.0,8,0,0
Arts and Humanities (fulfils Teaching Council requirements),203.0,289.0,8,0,0
English and History (fulfils Teaching Council requirements),168.0,289.0,8,0,0
Chemical and Biopharmaceutical Engineering,432.0,498.0,8,0,0
Software Development,351.0,393.0,8,0,0
Mechanical Engineering,425.0,487.0,8,0,0
Structural Engineering,341.0,467.0,8,0,0
Automotive Business Management and Technology,318.0,347.0,8,0,0
Creative Digital Media,335.0,389.0,8,0,0
Computer Systems,318.0,381.0,8,0,0
Music at CIT Cork School of Music,633.0,1052.0,8,1,0
Popular Music: Electric Bass Guitar at CIT Cork School of Music,972.0,1021.0,8,1,0
Popular Music: Drums at CIT Cork School of Music,878.0,1043.0,8,1,0
Popular Music: Electric Guitar at CIT Cork School of Music,584.0,761.0,8,1,0
Popular Music: Keyboards at CIT Cork School of Music,839.0,1009.0,8,1,0
Popular Music: Voice at CIT Cork School of Music,857.0,927.0,8,1,0
Musical Theatre,500.0,600.0,8,1,0
Business Information Systems,326.0,371.0,8,0,0
"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979.0,979.0,8,1,0
Fine Art at CIT Crawford College of Art and Design,620.0,819.0,8,1,0
Photography with New Media,920.0,920.0,8,1,0
Physical Sciences (Common Entry),279.0,309.0,8,0,0
IT Management,282.0,317.0,8,0,0
Biomedical Science (Offered jointly by CIT and UCC),546.0,556.0,8,0,0
Pharmaceutical Biotechnology,388.0,422.0,8,0,0
Nutrition and Health Science,360.0,393.0,8,0,0
Biological Sciences (Common Entry),381.0,419.0,8,0,0
Analytical Chemistry with Quality Assurance,288.0,315.0,8,0,0
Instrument Engineering,291.0,329.0,8,0,0
Environmental Science and Sustainable Technology,334.0,362.0,8,0,0
Agri-Biosciences,408.0,431.0,8,0,0
Accounting,316.0,389.0,8,0,0
Marketing,288.0,329.0,8,0,0
International Business with Language,300.0,392.0,8,0,0
Engineering (Common Entry),381.0,424.0,8,0,0
Sustainable Energy Engineering,319.0,343.0,8,0,0
Biomedical Engineering,434.0,477.0,8,0,0
Architectural Technology,288.0,332.0,8,0,0
Interior Architecture,336.0,390.0,8,0,0
Quantity Surveying,279.0,342.0,8,0,0
Construction Management,253.0,300.0,8,0,0
Electrical Engineering,344.0,374.0,8,0,0
Electronic Engineering,342.0,411.0,8,0,0
Visual Communications,587.0,888.0,8,1,0
Tourism Management,249.0,290.0,8,0,0
Theatre and Drama Studies at CIT Cork School of Music,768.0,906.0,8,1,0
Arts - 3 years,300.0,368.0,8,0,0
Social Science,391.0,431.0,8,0,0
Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340.0,409.0,8,1,0
Film and Screen Media - 3 years or 4 years (International Pathway),397.0,442.0,8,0,0
Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326.0,388.0,8,0,0
Arts International - 4 years,429.0,466.0,8,0,0
English - 3 years or 4 years (International Pathway),347.0,423.0,8,0,0
World Languages,456.0,506.0,8,0,0
Early Years and Childhood Studies,398.0,429.0,8,0,0
Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324.0,470.0,8,1,0
Criminology - 3 years or 4 years (International Pathway),408.0,430.0,8,0,0
Social Science (Youth and Community Work) - 3 years,,,8,1,0
