CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Business and administration,International Business,AC120,209,0.0,0,0.0,209,0.0,280,8,American College,0.0,0,0
Humanities (except languages),Liberal Arts,AC137,252,0.0,0,0.0,252,0.0,270,8,American College,0.0,0,0
Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Graphic Design and Moving Image Design (portfolio),AD102,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Fine Art (portfolio),AD204,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Fashion Design (portfolio),AD211,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Product Design (portfolio),AD212,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Visual Culture,AD215,377,0.0,320,0.0,320,0.0,389,8,National College of Art and Design,0.0,0,0
Arts,Illustration (portfolio),AD217,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Information and Communication Technologies (ICTs),Software Design,AL600,AQA,0.0,0,0.0,104,0.0,279,6,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Computer Engineering,AL601,AQA,0.0,219,0.0,112,0.0,192,6,Athlone Institute of Technology,0.0,avp,v
Engineering and engineering trades,Mechanical Engineering,AL602,AQA,0.0,0,0.0,260,0.0,424,6,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,AL604,AQA,0.0,AQA,0.0,AQA,0.0,244,6,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Music and Instrument Technology,AL605,AQA,0.0,AQA,0.0,154,0.0,306,6,Athlone Institute of Technology,0.0,avp,0
Health,Pharmacy Technician,AL630,295,0.0,0,0.0,295,0.0,379,6,Athlone Institute of Technology,0.0,0,0
Health,Dental Nursing,AL631,300,0.0,298,0.0,298,0.0,388,6,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Applied Science,AL632,234,0.0,0,0.0,234,0.0,434,6,Athlone Institute of Technology,0.0,0,0
Business and administration,Business,AL650,207,0.0,0,0.0,207,0.0,326,6,Athlone Institute of Technology,0.0,0,0
Personal services,Culinary Arts,AL660,AQA,0.0,AQA,0.0,112,0.0,270,6,Athlone Institute of Technology,0.0,avp,0
Personal services,Bar Supervision,AL661,AQA,0.0,AQA,0.0,101,0.0,241,6,Athlone Institute of Technology,0.0,avp,v
Personal services,Business (Sport and Recreation),AL663,AQA,0.0,AQA,0.0,120,0.0,262,6,Athlone Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,216,0.0,0,0.0,216,0.0,337,7,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,214,0.0,0,0.0,214,0.0,338,7,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,216,0.0,0,0.0,224,0.0,337,7,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Engineering,AL704,204,0.0,0,0.0,204,0.0,403,7,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,216,0.0,0,0.0,216,0.0,337,7,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,AL710,223,0.0,0,0.0,223,0.0,337,7,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,228,0.0,0,0.0,228,0.0,369,7,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Automation and Robotics,AL712,252,0.0,0,0.0,252,0.0,379,7,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,0.0,0,0.0,218,0.0,402,7,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Music and Sound Engineering,AL718,214,0.0,0,0.0,216,0.0,339,7,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,AL721,233,0.0,0,0.0,233,0.0,357,7,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Biotechnology,AL730,250,0.0,0,0.0,250,0.0,402,7,Athlone Institute of Technology,0.0,0,0
Veterinary,Veterinary Nursing,AL731,400,0.0,0,0.0,400,0.0,456,7,Athlone Institute of Technology,0.0,0,0
Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,0.0,0,0.0,244,0.0,359,7,Athlone Institute of Technology,0.0,0,0
Personal services,Exercise and Health Science,AL740,250,0.0,0,0.0,250,0.0,367,7,Athlone Institute of Technology,0.0,0,0
Business and administration,Digital Marketing,AL751,241,0.0,0,0.0,241,0.0,318,7,Athlone Institute of Technology,0.0,0,0
Business and administration,Business,AL752,225,0.0,0,0.0,225,0.0,397,7,Athlone Institute of Technology,0.0,0,0
Personal services,Hotel and Leisure Management,AL761,208,0.0,0,0.0,208,0.0,309,7,Athlone Institute of Technology,0.0,0,0
Arts,Graphic Design (portfolio),AL763,781,0.0,0,0.0,781,0.0,858,7,Athlone Institute of Technology,1.0,0,0
Welfare,Early Years Care and Education,AL764,260,0.0,0,0.0,260,0.0,398,7,Athlone Institute of Technology,0.0,0,0
Welfare,Applied Social Studies in Social Care,AL765,280,0.0,0,0.0,280,0.0,358,7,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303,0.0,0,0.0,303,0.0,367,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332,0.0,0,0.0,332,0.0,382,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337,0.0,0,0.0,337,0.0,360,8,Athlone Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333,0.0,0,0.0,333,0.0,360,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Quantity Surveying,AL810,319,0.0,0,0.0,326,0.0,352,8,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,AL811,320,0.0,0,0.0,320,0.0,432,8,Athlone Institute of Technology,0.0,0,0
Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308,0.0,0,0.0,308,0.0,379,8,Athlone Institute of Technology,0.0,0,0
