CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Business and administration,International Business,209,0.0,0,0.0,209,0.0,280,8,American College,0.0,0,0
Humanities (except languages),Liberal Arts,252,0.0,0,0.0,252,0.0,270,8,American College,0.0,0,0
Arts,"First Year Art & Design (Common Entry,portfolio)",+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Graphic Design and Moving Image Design (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Textile & Surface Design and Jewellery & Objects (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Fine Art (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Fashion Design (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Product Design (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Arts,Visual Culture,377,0.0,320,0.0,320,0.0,389,8,National College of Art and Design,0.0,0,0
Arts,Illustration (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Information and Communication Technologies (ICTs),Interaction Design (portfolio),+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,National College of Art and Design,1.0,0,0
Information and Communication Technologies (ICTs),Software Design,AQA,0.0,0,0.0,104,0.0,279,6,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Computer Engineering,AQA,0.0,219,0.0,112,0.0,192,6,Athlone Institute of Technology,0.0,avp,v
Engineering and engineering trades,Mechanical Engineering,AQA,0.0,0,0.0,260,0.0,424,6,Athlone Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,AQA,0.0,AQA,0.0,AQA,0.0,244,6,Athlone Institute of Technology,0.0,0,0
Engineering and engineering trades,Music and Instrument Technology,AQA,0.0,AQA,0.0,154,0.0,306,6,Athlone Institute of Technology,0.0,avp,0
Health,Pharmacy Technician,295,0.0,0,0.0,295,0.0,379,6,Athlone Institute of Technology,0.0,0,0
Health,Dental Nursing,300,0.0,298,0.0,298,0.0,388,6,Athlone Institute of Technology,0.0,0,0
Biological and related sciences,Applied Science,234,0.0,0,0.0,234,0.0,434,6,Athlone Institute of Technology,0.0,0,0
Business and administration,Business,207,0.0,0,0.0,207,0.0,326,6,Athlone Institute of Technology,0.0,0,0
Personal services,Culinary Arts,AQA,0.0,AQA,0.0,112,0.0,270,6,Athlone Institute of Technology,0.0,avp,0
Personal services,Bar Supervision,AQA,0.0,AQA,0.0,101,0.0,241,6,Athlone Institute of Technology,0.0,avp,v
Personal services,Business (Sport and Recreation),AQA,0.0,AQA,0.0,120,0.0,262,6,Athlone Institute of Technology,0.0,avp,0
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,216,0.0,0,0.0,216,0.0,337,7,Athlone Institute of Technology,0.0,0,0
