AL801,Software Design for Virtual Reality and Gaming,300,,n/a
AL802,Software Design in Artificial Intelligence for Clo,313,,n/a
AL803,Software Design for Mobile Apps and Connected Devi,350,,n/a
AL805,Computer Engineering for Network Infrastructure,321,,n/a
AL810,Quantity Surveying,328,,n/a
AL811,Civil Engineering,n/a,,n/a
AL820,Mechanical and Polymer Engineering,327,,n/a
AL830,General Nursing,451,*,444,
AL832,Mental Health Nursing,440,*,431,
AL835,Pharmacology,356,,n/a
AL836,Nutrition and Health Science,346,,n/a
AL837,Sports Science with Exercise Physiology,357,,n/a
AL838,Biotechnology,324,,n/a
AL839,Microbiology,325,,n/a
AL840,Pharmaceutical Sciences,346,,n/a
AL841,Athletic and Rehabilitation Therapy,477,,476,*
AL842,Bioveterinary Science,338,,n/a
AL843,Physical Activity and Health Science,306,,n/a
AL849,Culinary Entrepreneurship,297,,n/a
AL850,Business,309,,n/a
AL851,Business and Law,302,,n/a
AL852,Accounting,336,,n/a
AL854,Sport Management (with international placement),300,,299,
AL855,Hospitality Management (with international placeme,309,,n/a
AL857,Digital Marketing,304,,n/a
AL859,International Business,308,,n/a
AL860,Social Care Practice,301,,n/a
AL861,Animation and Illustration (portfolio),575,#,n/a
AL863,Graphic and Digital Design (portfolio),747,#,n/a
AL864,Early Years Care and Education,306,,n/a
AL870,Applied Psychology,484,*,467,*
CW018,Business (options),307,,n/a
CW028,Early Childhood Education and Care,260,,n/a
CW038,Art (portfolio),700,#,n/a
CW058,Tourism and Event Management,292,,n/a
CW068,Applied Social Studies in Professional Social Care,250,,n/a
CW078,Sustainable Farm Management and Agribusiness,270,,n/a
CW088,Visual Communications and Design,270,,n/a
CW108,Science (options),266,,n/a
CW128,Brewing and Distilling,307,,n/a
CW138,Sport and Exercise Science,430,,423,
CW148,Strength and Conditioning,388,,n/a
CW188,Sport Rehabilitation and Athletic Therapy,451,,n/a
CW208,Computer Games Development,272,,n/a
CW238,Software Development,295,,n/a
CW248,Information Technology Management,293,,n/a
CW258,Cybercrime and IT Security,292,,n/a
CW268,Computing in Interactive Digital Art and Design,291,,n/a
CW438,Construction (options),260,,251,
CW468,Architectural Technology,291,,283,
CW478,Civil Engineering,465,,n/a
CW548,Mechanical Engineering,330,,328,
CW558,Electronic Systems,280,,n/a
CW568,Aerospace Engineering,371,,359,
CW578,TV and Media Production,318,,n/a
CW708,Law - LLB,292,,n/a
CW728,Product Design Innovation,246,,n/a
CW748,Early Childhood Education and Care,290,,n/a
CW758,Professional Social Care Practice,360,,358,
CW808,Media and Public Relations,247,,n/a
CW848,Digital Marketing with Analytics,269,,n/a
CW858,Sports Management and Coaching (options  portfolio,700,#,n/a
CW908,Business (options),272,,n/a
CW938,Business with Law,270,,n/a
CW948,Accounting,319,,n/a
PC405,Social  Political and Community Studies,263,,235,
PC410,Arts and Humanities (fulfils Teaching Council requ,262,,230,
PC411,English and History (fulfils Teaching Council requ,243,,224,
CR105,Chemical and Biopharmaceutical Engineering,443,,n/a
CR106,Software Development,431,,n/a
CR108,Mechanical Engineering,434,,n/a
CR109,Structural Engineering,396,,n/a
CR110,Automotive Business Management and Technology,336,,n/a
CR112,Creative Digital Media at CIT Crawford College of,390,,n/a
CR116,Computer Systems,365,,n/a
CR121,Music at CIT Cork School of Music,904,#,904,#
CR125,Popular Music at CIT Cork School of Music,1028,#,n/a
CR130,Musical Theatre at CIT Cork School of Music,525,#,n/a
CR150,Business Information Systems,350,,n/a
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,#,n/a
CR220,Fine Art at CIT Crawford College of Art and Design,400,#,n/a
CR225,Photography with New Media at CIT Crawford College,435,#,n/a
CR305,Physical Sciences (Common Entry),260,,n/a
CR310,IT Management,347,,n/a
CR320,Biomedical Science - Offered jointly by CIT and UC,590,*,n/a
CR325,Pharmaceutical Biotechnology,466,,n/a
CR333,Nutrition and Health Science,425,,n/a
CR335,Biological Sciences (Common Entry),473,,n/a
CR340,Analytical Chemistry with Quality Assurance,327,,n/a
CR360,Instrument Engineering,301,,n/a
CR365,Environmental Science and Sustainable Technology,262,,n/a
CR370,Agri-Biosciences,368,,n/a
CR400,Accounting,315,,n/a
CR420,Marketing,290,,n/a
CR425,International Business with Language,279,,n/a
CR430,Sport and Exercise Management,402,,n/a
CR435,Coaching Science and Sports Pedagogy,410,,n/a
CR440,Montessori Education,409,,408,
CR500,Engineering (Common Entry),475,,n/a
CR510,Sustainable Energy Engineering,320,,n/a
CR520,Biomedical Engineering,444,,n/a
CR560,Architectural Technology,375,,n/a
CR565,Interior Architecture,431,,n/a
CR570,Quantity Surveying,375,,n/a
CR572,Construction Management,300,,n/a
CR580,Electrical Engineering,342,,n/a
CR590,Electronic Engineering,329,,n/a
CR600,Visual Communications at CIT Crawford College of A,280,#,n/a
CR660,Tourism Management,246,,n/a
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,#,609,#
CR930,Home Economics and Business,518,*,n/a
CK101,Arts - 3 years,300,,n/a
CK102,Social Science,434,,431,
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,#,n/a
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,,420,*
CK107,Geographical and Archaeological Sciences - 3 or 4,312,,n/a
CK108,Arts International - 4 years,440,*,440,
CK109,English - 3 years or 4 years (International Pathwa,367,,357,
CK110,World Languages,488,,n/a
CK111,Early Years and Childhood Studies,409,,403,
CK112,Theatre and Performative Practices - 3 or 4 years,371,#,n/a
CK113,Criminology - 3 years or 4 years (International Pa,464,,463,
CK114,Social Science (Youth and Community Work),n/a,,n/a
CK115,Social Work - Mature Applicants only,n/a,,n/a
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,,339,
CK120,Applied Psychology,544,,543,*
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,,488,
CK122,Government and Political Science,399,,n/a
CK123,Anthropology,308,,n/a
CK124,Education - Gaeilge,473,,n/a
CK125,Sports Studies and Physical Education,564,,555,*
CK201,Commerce,500,,499,*
CK202,Accounting,553,,543,*
CK203,Business Information Systems,455,,452,
CK204,Finance,566,*,566,*
CK205,Commerce (International) with French,465,,n/a
CK206,Commerce (International) with German,466,,455,
CK207,Commerce (International) with Italian,423,,418,
CK208,Commerce (International) with Hispanic Studies,488,,486,
CK209,Commerce (International) with Irish,507,,n/a
CK211,Commerce (International) with Chinese Studies,385,,n/a
CK212,Economics (through Transformational Learning) 3 or,445,,444,
CK213,Food Marketing and Entrepreneurship,466,,n/a
CK214,International Development,332,,n/a
CK301,Law (Pathways) -  3 or 4 years,533,,532,*
CK302,Law and French,545,,n/a
CK304,Law and Irish,588,,n/a
CK307,Law and Business,589,*,589,*
CK401,Computer Science,503,,495,
CK402,Biological and Chemical Sciences,555,*,555,
CK404,Biological  Earth and Environmental Sciences,500,,495,*
CK405,Genetics,543,,n/a
CK406,Chemical Sciences,532,,n/a
CK407,Mathematical Sciences,566,,n/a
CK408,Physics and Astrophysics,566,,n/a
CK409,Industrial Physics - Offered jointly by UCC and CI,465,,n/a
CK411,Data Science and Analytics,531,,n/a
CK412,Agricultural Science,506,,n/a
CK504,Nutritional Sciences,555,,554,*
CK505,Food Science,463,,n/a
CK600,Engineering,510,,509,*
CK606,Architecture - Offered jointly by UCC and CIT,543,,n/a
CK701,Medicine (Undergraduate Entry - HPAT required),738,#,737,# *
CK702,Dentistry,625,*,625,*
CK703,Pharmacy,613,*,613,*
CK704,Occupational Therapy,601,*,n/a
CK705,Speech and Language Therapy,568,,566,*
CK706,Public Health Sciences,500,,n/a
CK707,Medical and Health Sciences,578,*,n/a
CK710,General Nursing,498,*,497,*
CK712,Children`s and General Nursing (Integrated),565,,n/a
CK720,Mental Health Nursing,455,,452,
CK730,Intellectual Disability Nursing,431,,n/a
CK740,Midwifery,509,*,n/a
CK791,Medicine  - Graduate Entry (GAMSAT required),60,# *,60,# *
AC120,International Business,294,,294,
AC137,Liberal Arts,271,,270,
CT125,Computing and IT,242,,242,
CT325,Business,253,,253,
CM001,Education - Primary Teaching,508,,n/a
CM002,Education - Primary Teaching - Gaeltacht Applicant,462,#,n/a
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513,#,n/a
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480,#,n/a
CM010,Education Studies,382,,327,
CM020,Early Childhood Education,317,,n/a
DB500,Computing,234,,234,
DB501,Computing (Cloud Computing),178,,n/a
DB502,Computing (Data Analytics and Big Data),267,,233,
DB503,Computing (Software Development),n/a,,n/a
DB504,Computing (Web and Mobile Technology),n/a,,n/a
DB510,Audio Production and Music Project Management,217,,217,
DB512,Business Studies,243,,210,
DB514,Business Studies (Law),239,,225,
DB515,Business Studies (Human Resource Management),242,,217,
DB517,Marketing (Event Management),233,,225,
DB518,Marketing (Digital Media),307,,209,
DB521,Accounting and Finance,243,,228,
DB524,Business (Information Systems),247,,239,
DB525,Marketing (Digital Media and Cloud Computing),288,,288,
DB526,Business (Cloud Computing),244,,244,
DB527,Applied Social Care,254,,219,
DB531,Marketing,288,,176,
DB562,Psychology,244,,233,
DB566,Social Science,262,,228,
DB567,Film and Creative Media,245,,213,
DB568,Law,254,,228,
DB569,Business (Psychology),240,,240,
DC001,Education - Early Childhood Education,445,,n/a
DC002,Education - Primary Teaching,518,*,n/a
DC003,Education - Primary Teaching - Gaeltacht Applicant,489,#,n/a
DC004,Education - Primary Teaching (Church of Ireland Ce,451,#,n/a
DC009,Arts (Joint Honours) - Humanities,356,,n/a
DC010,Post Primary Teacher Education - Religious Educati,384,,n/a
DC011,Post Primary Teacher Education - Religious Educati,409,,n/a
DC012,Post Primary Teacher Education - Religious Educati,409,,n/a
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,,n/a
DC014,BA in Jazz and Contemporary Music Performance (aud,311,#,n/a
DC110,Business Studies International,498,,n/a
DC111,Business Studies,511,,n/a
DC112,Global Business (France),542,*,n/a
DC113,Global Business (Germany),484,,n/a
DC114,Global Business (Spain),544,,n/a
DC115,Accounting and Finance,544,,n/a
DC116,Global Business (USA),613,*,n/a
DC117,Aviation Management / Aviation Management with Pil,484,,n/a
DC118,Gná agus Gaeilge / Business and Irish,368,,n/a
DC119,Global Business (Canada),601,,n/a
DC120,Computing for Business,403,,402,
DC121,Computer Science,475,,n/a
DC123,Data Science,501,,n/a
DC126,Actuarial Mathematics,577,*,n/a
DC127,Common Entry into Actuarial and Financial Mathemat,541,,n/a
DC131,Communication Studies,421,,n/a
DC132,Journalism,452,,n/a
DC133,Multimedia,435,,n/a
DC155,Applied Language and Translation Studies,427,,n/a
DC161,Analytical Science,498,,n/a
DC162,Chemical and Pharmaceutical Sciences,531,*,n/a
DC163,Chemical Sciences General Entry (Undenominated Ent,466,*,n/a
DC166,Environmental Science and Technology,423,*,n/a
DC168,Genetics and Cell Biology,543,*,n/a
DC175,Physics General Entry (options),400,,n/a
DC180,Biological Sciences General Entry (Undenominated E,530,,n/a
DC181,Biotechnology,530,,n/a
DC190,Electronic and Computer Engineering (with choice o,488,,n/a
DC193,Mechatronic Engineering,490,,n/a
DC194,Sustainable Systems and Energy,476,,n/a
DC195,Mechanical and Manufacturing Engineering,500,,n/a
DC197,Biomedical Engineering,510,,n/a
DC200,Common Entry into Engineering (Undenominated Entry,511,,510,
DC202,Sport Science and Health,511,,n/a
DC203,Science Education,462,,n/a
DC204,Athletic Therapy and Training,558,,n/a
DC205,Physical Education with Biology,565,,n/a
DC206,Physical Education with Mathematics,521,,n/a
DC207,Psychology and Mathematics,521,,n/a
DC208,Psychology,565,,n/a
DC209,Health and Society,477,,n/a
DC210,Psychology and Disruptive Technologies,506,,n/a
DC215,General Nursing,456,*,n/a
DC216,Mental Health Nursing,420,,n/a
DC217,Intellectual Disability Nursing,382,,n/a
DC218,Children`s and General Nursing (Integrated),521,*,n/a
DC230,Economics  Politics and Law,431,,n/a
DC231,International Relations,398,,n/a
DC232,Law and Society (BCL),469,,n/a
DC235,Education and Training - Daytime and Flexible Deli,302,,n/a
DC238,Social Sciences and Cultural Innovation,387,,n/a
DC240,Marketing  Innovation and Technology,499,,n/a
DC241,Digital Business and Innovation,509,,n/a
DC291,Arts (Joint Honours) - Media Studies,350,,n/a
DC292,Arts (Joint Honours) - Law,400,,n/a
DC293,Arts (Joint Honours) - International Languages,379,,n/a
DC294,Climate and Environmental Sustainability,475,,n/a
DC295,Arts (Joint Honours) - Politics,349,,n/a
DL822,Arts Management,254,,n/a
DL823,Business Management,220,,n/a
DL825,Applied Psychology,418,,413,
DL826,Graphic Design,591,#,n/a
DL827,Art,574,#,n/a
DL832,Animation,989,#,n/a
DL833,Photography and Visual Media,671,#,671,#
DL836,Creative Computing,235,,n/a
DL837,New Media Studies,298,,293,
DL838,Creative Music Production,713,#,n/a
DL839,Interaction and User Experience Design,757,#,n/a
DL840,Digital Marketing,210,,n/a
DL841,English and Equality Studies,277,,277,
DL843,Film,987,#,874,#
DL844,Television,566,#,n/a
DL845,Design for Film (degree options),628,#,n/a
GC200,Business,269,,242,
GC201,Accounting and Finance,260,,226,
GC230,Computing Science,300,,289,
GC300,Business,264,,264,
GC301,Accounting and Finance,251,,n/a
GC302,Business - HRM,377,,377,
GC307,Business (Marketing),289,,270,
GC400,Business,250,,228,
GC401,Accounting and Finance,242,,242,
GC402,Business (HRM),n/a,,n/a
GC403,Law,245,,242,
GC407,Business (Marketing),264,,264,
GC430,Computing Science,251,,251,
GC450,Communications and Media Production,225,,225,
GC462,Design Communication (portfolio),300,#,n/a
GC489,Interior Architecture (portfolio),288,#,274,#
GC494,Fashion Design (portfolio),351,#,n/a
BY001,Business,210,,210,
ID001,Accounting and Finance,n/a,,n/a
ID002,Business Studies,n/a,,n/a
AD101,First Year Art and Design (Common Entry portfolio),554,#,n/a
AD102,Graphic Design and Moving Image Design (portfolio),538,#,n/a
AD103,Textile and Surface Design and Jewellery and Objec,505,#,n/a
AD202,Education and Design or Fine Art (Second Level Tea,591,#,n/a
AD204,Fine Art (portfolio),514,#,n/a
AD211,Fashion Design (portfolio),760,#,679,#
AD212,Product Design (portfolio),413,#,n/a
AD215,Visual Culture,337,,300,
AD217,Illustration (portfolio),738,#,n/a
AD222,Interaction Design (portfolio),444,#,n/a
NC003,Computing (Degree Award options),271,,n/a
NC005,Human Resource Management,301,,n/a
NC009,Business,300,,n/a
NC010,Psychology,420,,n/a
NC020,Marketing Practice,270,,n/a
NC022,Accounting and Finance,330,,n/a
NC023,Technology Management (with specialisations),266,,n/a
NC030,Early Childhood Education and Care,251,,251,
RC001,Medicine - Undergraduate Entry (HPAT required),741,#,740,# *
RC004,Physiotherapy,589,*,589,*
RC005,Pharmacy,613,*,613,
RC101,Medicine - Graduate Entry (GAMSAT required),n/a,,n/a
NM801,Montessori Education,262,,n/a
NM802,Psychology,228,,n/a
TU801,Sustainable Energy Engineering,235,,n/a
TU802,Electrical Services and Energy Management,309,,n/a
TU804,Engineering (Common Entry with Award options),270,,n/a
TU805,Engineering (General Entry),466,,465,
TU807,Computer Engineering in Mobile Systems,274,,n/a
TU810,Mechatronic Engineering,271,,n/a
TU811,Product Design,440,,434,
TU812,Design Technology and Innovation,278,,n/a
TU814,Sustainable Transport Management,253,,253,
TU828,Mechanical Engineering (General Entry),300,,n/a
TU829,Electronic Engineering (General Entry),248,,248,
TU831,Architectural Technology,423,,n/a
TU832,Architecture (Suitability Test and Interview),644,#,638,#
TU833,Construction Management,396,,n/a
TU834,Geographic Science,315,,n/a
TU835,Planning and Environmental Management,330,,n/a
TU836,Property Economics (Valuation Surveying),411,,n/a
TU837,Quantity Surveying and Construction Economics,413,,n/a
TU838,Sustainable Timber Technology,307,,271,
TU851,Analytical Chemistry (Environmental  Forensic and,400,,n/a
TU852,Chemical Sciences with Medicinal Chemistry,477,,n/a
TU854,Science (General Entry),510,,n/a
TU855,Science with Nanotechnology,322,,n/a
TU856,Computer Science,499,,n/a
TU857,Computer Science (Infrastructure),403,,n/a
TU858,Computer Science (International),395,,n/a
TU859,Computing,251,,n/a
TU860,Computing (Information Technology),270,,n/a
TU861,Computing with Language (French/German/Spanish),235,,235,
TU862,Computing with Artificial Intelligence Machine Lea,262,,n/a
TU863,Digital Forensics and Cyber Security,282,,n/a
TU864,DNA and Forensic Analysis,500,,441,
TU865,Cloud Computing,235,,n/a
TU866,Biomedical and Molecular Diagnostics,522,,n/a
TU867,Biomedical Science,576,,566,*
TU868,Clinical Measurement Science,542,,n/a
TU869,Environmental Health,387,,n/a
TU870,Human Nutrition and Dietetics,601,*,n/a
TU871,Optometry,532,,n/a
TU872,Public Health Nutrition,487,,n/a
TU874,Mathematical Sciences,294,,294,
TU875,Pharmaceutical Healthcare,451,,n/a
TU876,Pharmaceutical Science,445,,n/a
TU877,Physics Technology,314,,314,
TU878,Physics with Energy and Environment,339,,n/a
TU879,Physics with Medical Physics and Bioengineering,346,,n/a
TU880,Physics with Data Science,412,,n/a
TU881,Food Innovation,309,,n/a
TU882,Nutraceuticals in Health and Nutrition,380,,n/a
TU902,Business (options),270,,n/a
TU903,Business and Management,477,,n/a
TU904,Business and Law,462,,n/a
TU905,Economics and Finance,460,,n/a
TU906,Human Resource Management,386,,377,
TU907,Logistics and Supply Chain Management,300,,n/a
TU910,Accounting,420,,n/a
TU912,Business Analytics,331,,311,
TU914,Business Computing,322,,n/a
TU917,Law (LLB ) with a Language,356,,n/a
TU918,Law (LLB),463,,n/a
TU919,Advertising and Marketing Communications,219,,n/a
TU920,Digital Marketing,270,,n/a
TU921,Digital Marketing Technologies,230,,n/a
TU922,Marketing,412,,n/a
TU924,E-Commerce in Retailing,307,,n/a
TU925,Retail and Services Management,307,,n/a
TU932,Business (options),211,,n/a
TU933,Accounting and Finance (campus options),251,,n/a
TU935,Sports Management and Coaching,300,,n/a
TU936,Sports Science and Health,484,,n/a
TU941,Botanical Cuisine,311,,n/a
TU942,Culinary Arts,252,,n/a
TU943,Culinary Entrepreneurship,261,,n/a
TU944,Culinary Science,336,,n/a
TU951,International Hospitality and Tourism Management,244,,n/a
TU952,International Hospitality Management,309,,n/a
TU953,Tourism and Digital Marketing,308,,n/a
TU954,Event Management,326,,n/a
TU955,Sports and Leisure Management,275,,n/a
TU961,Commercial Modern Music (BIMM - assessment/auditio,536,#,536,#
TU962,Drama (Performance  audition),448,#,n/a
TU963,Music (audition),364,#,n/a
TU965,International Business and Languages,357,,n/a
TU967,Languages and International Tourism,298,,n/a
TU973,Design - Visual Communication (portfolio),700,#,n/a
TU974,Fine Art (portfolio),549,#,n/a
TU975,Interior Design (portfolio),544,#,n/a
TU976,Photography (portfolio),700,#,n/a
TU978,Creative Industries and Visual Culture,299,,n/a
TU981,Creative Digital Media,280,,n/a
TU982,Media Production and Digital Arts,369,,n/a
TU983,Film and Broadcasting,462,,453,
TU984,Game Design,414,,n/a
TU985,Journalism,367,,n/a
TU989,Early Childhood Care and Education (campus options,270,,n/a
TU991,Applied Social Studies in Social Care,326,,n/a
TU992,Community Development and Youth Work,251,,n/a
TU995,Early Childhood Education,378,,n/a
TU996,Social Care,407,,n/a
TU997,Applied Social Care,320,,n/a
TR002,Music,508,,477,*
TR003,History,552,,543,*
TR004,Law,590,*,589,
TR005,Philosophy,510,,497,
TR006,Psychology,601,*,590,
TR007,Clinical Speech and Language Studies,564,*,n/a
TR009,Music Education,496,#,486,#
TR015,Philosophy  Political Science  Economics and Socio,613,*,613,*
TR016,Deaf Studies,389,,n/a
TR018,Law and French,602,*,602,
TR019,Law and German,577,,567,
TR021,Classics  Ancient History and Archaeology,467,,462,
TR022,Early and Modern Irish,377,,n/a
TR023,English Studies,546,,541,*
TR024,European Studies,566,,n/a
TR025,Drama and Theatre Studies,543,#,519,#
TR028,Ancient and Medieval History and Culture,498,,463,
TR031,Mathematics,579,,578,
TR032,Engineering,556,,555,
TR033,Computer Science,566,*,549,
TR034,Management Science and Information Systems Studies,625,*,625,*
TR035,Theoretical Physics,590,,589,*
TR038,Engineering with Management,589,*,589,*
TR039,Computer Science  Linguistics and a Language,443,,n/a
TR040,Middle Eastern and European Languages and Cultures,520,,499,
