CATEGORY,COURSE TITLE,COURSE CODE,R1 2020,2020 R1 Random,R2 2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,Course Level,HEI,2020 Interview,avp,v
Business and administration,International Business,209.0,0.0,,0.0,209,,280,8,American College,0.0,,,AC
Humanities (except languages),Liberal Arts,252.0,0.0,,0.0,252,,270,8,American College,0.0,,,AC
Arts,"First Year Art & Design (Common Entry,portfolio)",,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Graphic Design and Moving Image Design (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Textile & Surface Design and Jewellery & Objects (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Fine Art (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Fashion Design (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Product Design (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Arts,Visual Culture,377.0,0.0,320.0,0.0,320,,389,8,National College of Art and Design,0.0,,,AD
Arts,Illustration (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Information and Communication Technologies (ICTs),Interaction Design (portfolio),,0.0,,0.0,#+matric,,#+matric,8,National College of Art and Design,1.0,,,AD
Information and Communication Technologies (ICTs),Software Design,,0.0,,0.0,104,,279,6,Athlone Institute of Technology,0.0,,,AL
Engineering and engineering trades,Computer Engineering,,0.0,219.0,0.0,112,,192,6,Athlone Institute of Technology,0.0,avp,v,AL
Engineering and engineering trades,Mechanical Engineering,,0.0,,0.0,260,,424,6,Athlone Institute of Technology,0.0,,,AL
Architecture and construction,Civil Engineering,,0.0,,0.0,AQA,,244,6,Athlone Institute of Technology,0.0,,,AL
Engineering and engineering trades,Music and Instrument Technology,,0.0,,0.0,154,,306,6,Athlone Institute of Technology,0.0,avp,,AL
Health,Pharmacy Technician,295.0,0.0,,0.0,295,,379,6,Athlone Institute of Technology,0.0,,,AL
Health,Dental Nursing,300.0,0.0,298.0,0.0,298,,388,6,Athlone Institute of Technology,0.0,,,AL
Biological and related sciences,Applied Science,234.0,0.0,,0.0,234,,434,6,Athlone Institute of Technology,0.0,,,AL
